title,relevant_sentence,label
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Über die Alp Bogarten geht’s nun hinauf in Richtung Bogartenlücke, etwas vor dieser Lücke, wo auch die Hinweis Tafel, „Alpin Route“ steht, zweige ich nach links ab in Richtung Marwees, wo es zuerst über eine recht steile Rinne im im zick–zack hinauf geht und nachher über eine leicht ausgesetzte Querung hinauf zum breiten Marwees Ostgipfelgrat/-kamm. | T4",neutral
Hinteres Plattenhorn (Südgipfel),Zurück in der Scharte P.3045 liess mir die Sache doch keine Ruhe – gemäss Karte müsste man wenigstens den Nordgipfel einigermassen einfach über den Gletscherrest erreichen können. | T6 | II,neutral
"Gletscherhorn, 3106 m",Bike dort deponiert und weiter gegen den Pass zwischenPredarossaundGletscherhorn. | T4- | L,neutral
Vom Barrhorn bis Bishorn,Eine einfache T3 Wanderung. | T4+,neutral
Gesamter SO-Grat zum Piz Linard,Wir waren drei Seilschaften und kamen trotz Gruppengrösse und durchgehendes Sichern gut voran. | T6 | ZS- | III,neutral
"Piz Forbesch 3261,8m",So konnte ich einfach die steilsten und mühsamen Schutthalden umgehen. | T5+ | WS | II,neutral
Nel cuore del Ticino...,"An allen 3 Tagen bei leichtem SW-Wind warm, und Gras morgens und z.T. schattseitig feucht, sonst wie Wege und Felsen trocken. | T6 | WS+ | III",neutral
Schinhorn 3796 m - Westnordwestgrat,(Wir hatten inzwischen die Umkehrzeit 14 Uhr ausgemacht.)Nach einigen einfachen Klettermetern standen wir kurz darauf am NNE-Gipfel vor der Scharte zum Hauptgipfel. | S- | IV,neutral
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Weiter oben, am Anfang vom Südgrat angekommen, war dann die Wegfindung wieder um einiges besser und es gab keine Probleme mehr. | T4",neutral
Piz Starlera 2735m und Piz Grisch 3060m,"VOM FEINSTEN.Gemäss SAC-Tourenführer und Eintragungen im Gipfelbuch wird der Piz Grisch jährlich nur etwa zehnmal bestiegen, wohl weil es unterwegs keine Stützpunkte gibt, die Anstiege alle steil sind und auch keine wirkliche Kletterrouten existieren. | T5 | WS- | I",neutral
Gipfelrunde oberhalb der Bordierhütte,"Die stolzen vierbeinigen Wiederkäuer sind einfach herrliche Tiere und es immer wieder eine Freude, sie zu sehen und zu fotografieren. | ZS | III",neutral
Botta dal Tiroler (2934 m),Die Schwierigkeit in der Steilstufe würde ich mit T5- bewerten. | T5-,neutral
Surettahorn (3027 m) ab Splügen,"Oberhalb des Gletscherrestes habe ich das Schneefeld benutzt, welchesRoaldhiererwähnt hat. | T4+ | WS | L",neutral
Vom Barrhorn bis Bishorn,Etwa 20 Minuten auf dem Gletscher erreichten wir die Einstiegsstelle des Klettersteigs Schöllijoch. | T4+,neutral
Torrenthorn und Schafberg (bei Albinen),"Eine kurze Halbtagestour mit zwei ziemlich unterschiedlichen Hälften:Aufstieg Torrenthorn (T2):Start an der Bergstation der Torrentbahn bzw der Seilbahn von Flaschen (man könnte natürlich auch von unten herauf laufen, wegen der angekündigten Gewittergefahr am Nachmittag entschieden wir uns für die Seilbahnfahrt - tatsächlich kamen die Gewitter erst nach 18 Uhr). | T4 | K2-",neutral
Signina - Piz Fess und Co.,Unschwierig erreiche ich den Sattel P. 2260 und entlang des blumigen Grates den Nolla. | T6 | III,neutral
Auf Naefs (Ab)wegen zum Unghür,"Ohne grosse Anhaltspunkte aus verlässlicher Quelle (ausser dem summarischen «ZS» vom SAC) ist das aber einfach mein Eindruck, nachdem ich mich insgesamt zwei Stunden lang im Gelände rund um den Westgipfel ausgetobt habe... | T6 | II",neutral
Gipfel Sammeln (4 Tage in der Leventina),Passo di Leit aus führen Wegspuren die Süd-Westflanke hoch. | T5 | II,neutral
Hinteres Plattenhorn (Südgipfel),Bis hierhin T5+. | T6 | II,neutral
Vom Hotel Belvédère auf's Chli Furkahorn (3026 m),Der Weg auf's Chli Furkahorn ist weder ausgeschildert noch offiziell markiert. | T4,neutral
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Der Weg von der Bergstation Alp Sigel über den Jägersteig zur Bogartenlücke ist ein Geheimtyp für den erfahrenen Wanderer, auf dem Jägersteig ist man abseits der großen Wanderströme und kann dabei die Natur so richtig genießen. | T4",neutral
Gletschersuchen am Pizol,"Auf einem schmalen, markierten Weg zum aussichtsreichen Garmil. | T4",neutral
Zum Guli und einigen Hüenern im Weisstannental,"Auf dem Weg zum Tamonser Vorsäss besichtigten wir den sehr schön gestalteten neuen Rastplatz auf ca. 1720m mit dem grossen Brunnen aus Quintnerkalk, den der initiative Sarganser Ortspräsident Dani Peter im Vorjahr der Öffentlichkeit übergab. | T5",neutral
Aussicht zehn Meter im Gleggtobel,"Nicht sehr steil und meist gut ausgebaut, allerdings mit Abschnitten, wo es viele lose Steine hat. | T4 | L",neutral
Signina - Piz Fess und Co.,"Sobald es möglich erscheint, steige ich direkt der Kante nach zum Gipfel hoch -  einfacher wäre es noch weiter auszuholen und durch die SW-Flanke hochzusteigen. | T6 | III",neutral
"Il Nes (2950 m), Corn Chamuotsch (3016 m) & Corn Suvretta (3071 m).",Weiter ging es dann runter in die Fuorcla Chamuotsch und schliesslich hinauf zum Corn Suvretta (T4). | T4+,neutral
Auf Naefs (Ab)wegen zum Unghür,"Dieses Gefühl beschlich mich auch auf dieser Tour, aber rückblickend muss ich sagen – wahrscheinlich ist dieser Gipfel einfach nicht ohne Kletterstellen um die II+ zu haben. | T6 | II",neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Beim Abklettern zum Tisch wird erstmals Konzentration gefordert. | ZS+,neutral
Fuorcla Val Sassa,"Weiter unten gibt es ein kleines Wegstück, das weggeschwemmt wurde, wo man klettern muss. | T5-",neutral
In der Goldach: vom Blumenegg zur Martinsbrugg,"Unterwegs sah ich auch die Wasseramseln und Gebirgsstelzen auffliegen, an einer Stelle könnte sogar ein Eisvogel gewesen sein, falls ich den Ruf richtig erkannt habe - gesehen habe ich ihn nicht. | Keine Schwierigkeitsangabe",neutral
"Rotgrätli, 3.012m, und Wissgrätli, 2.865m",mir interessant und am einfachsten: | T3+,neutral
L'Épaule 3011m und Tour Sallière 3220m,Kaum zu glauben dass die Tour kein Seil benötigt! | T6 | WS | II,neutral
Piz Surgonda (3195 m),Weiter ging es weglos und teilweise auf Wegspuren Richtung Piz Surgonda. | T3+,neutral
Tierbergli-Klettersteig,DerAbstiegvon der Tierberglihütte erfolgt auf einemAlpinwanderweg(T4). | T4 | K4,neutral
"Schwarzseehorn, 2863 m","Bis zumSchwarzseegut markierter Weg, anschliessend muss man sich den Weg über die Blockhalden selber suchen. | T3+",neutral
Vom Barrhorn bis Bishorn,"Nach einem einfachen Aufstieg auf dem Brunegggletscher und um die Adlerflüe, stand uns nun der Turtmanngletscher entgegen. | T4+",neutral
"Burgerrain, Bräntlirain & Schwängiflüeli","Durch ein Couloire konnte ich auf direktem Weg zur Strasse absteigen, welche ich überquerte und so dem Waldrand entlang den Wanderweg beimP.753erreichte. | T5 | II | K2 | L",neutral
"Rotgrätli, 3.012m, und Wissgrätli, 2.865m","Vom Vorgipfel P2985 dann noch einfach zum Hauptgipfel mit großem Gipfelsteinmann (welcher aussieht als würde er mit dem Gipfelfels bald abstürzen).Vom Gipfel hat eine wunderschöne Aussicht auf das Rheinwald, Adula und insbesondere das Güferhorn. | T3+",neutral
Surettahorn (3027 m) ab Splügen,"Leider konnten sie nur italienisch, das machte die Unterhaltung schwierig. | T4+ | WS | L",neutral
Piz Paradis vom Lai di Nalps,Auf der Karte der Landestopographie sieht man eine kleine Lücke - dort ist es am einfachsten. | T4,neutral
Schinhorn 3796 m - Westnordwestgrat,Zuerst quert man kurz ein Band nach rechts und steigt über einige sehr bröselige und steile Stufen auf einen kleinen Vorsprung der Rippe. | S- | IV,neutral
Schinhorn 3796 m - Westnordwestgrat,"Es gibt natürlich noch einige Gratrouten aufs Schinhorn in teilweise schwieriger Kletterei: WNW-Grat, NNE-Grat, SW-Grat, SO-Grat und den Ostsporn. | S- | IV",neutral
"Burgerrain, Bräntlirain & Schwängiflüeli",In der Eingangshöhle machte ich mich im Uhrzeigersinn auf den Weg durch die Q-Förmige Höhle. | T5 | II | K2 | L,neutral
"Fridlispitz, Riseten & Wageten Westgrat","Der Weg von derLocheggzumWagetenwar mir bekannt, diesen haben wir auch im 2020 bewandert. | T4+ | IV",neutral
Munt Arlas,"Von der Fuorcla Surlej über die Mandra da la Bês-cha, dort halbrechts über Geröll, dann einigen Wegspuren und Steinmannli folgend zum Corn d'Arlas, Pt. | ZS+ | III",neutral
Fanellhorn Westgrat Überschreitung,AlpinwegFanellhorn WestgratKraxeln und Klettern im I und II Grad gewisse Stellen | T5 | II,neutral
Glegghorn und Zusatzschlaufe ab Jenins,Eine steile Strasse mit miserablem Belag und über 1300 Höhenmeter. | T5 | WS,neutral
St. Antönien - Klosters (Madrisahorn),"Müssen dabei einige kurze Kraxel- und Kletterpassagen (Bild 2, 3 und 4) meistern. | T5 | II",neutral
Piz Spadlatscha (2871 m) - Bike & Hike ab Filisur,"Im mittleren Teil ist es vielfach etwas steiler (etwa 15% auf einer Stecke von 1,5 km), ohne E-Bike wäre das sehr streng. | T5 | II | WS",neutral
Via Alpina: Grindelwald » Lauterbrunnen (Etappe 11),"Der nun folgende Aufstieg ist nicht mehr ganz so steil, dafür komplett der Sonne ausgesetzt. | T2",neutral
Aussichtsreiche Tour zum Combin de Meitin 3626m,Um zum Combin de Meitin zu gelangen muss man dem Grat entlang abkraxeln. | T5+ | III,neutral
Chli Furkahorn,die Aussicht auf den Rhonegletscher und Gletschersee lohnt sich trotzdem sehr. | T4,neutral
Tschinglenrunde mit Abkürzung Il Vonn,"Ich folgte ab ungefähr2170hmnicht mehr dem Wanderweg, sondern stieg in den Bach ein beziehungsweise in den parallelen rechten Bachteil welcher trocken war und ein weniger mühseliges aufsteigen ermöglichte als auf dem offiziellen Weg teil. | T4",neutral
"Piz Forbesch 3261,8m",Nun folgte ich auf deutlichen Wegspuren dem Grat 50m hinauf wobei einige Felsstufen immer links umgangen werden. | T5+ | WS | II,neutral
Kreuzberg III - Breites Südrippli,"Weil wir nicht die Querung zurück zur Stauberen machen wollten, und erneut die teure Seilbahn bezahlen, beschlossen wir zu Fuss nach Frümsen abzusteigen. | III",neutral
Ammertespitz (2613m),"Wechselt man dann in die Südflanke, wird es ein einfacher, aber gerölliger Aufstieg auf den Ammertespitz. | T4",neutral
"Roteflue, Bramegg, Staldighöhe","Vom HofLutersarniführt ein Weg hinauf, da der Sonnenstand schon tief war und der Weg mit grossen Gattern gespickt war, entschied ich sofort weiterzufahren. | T2 | L",neutral
Schibenspitz (2060 m) - Schnuppertour um den Gantrisch,"Auf dem Grat ist es stellenweise schmal und etwas abschüssig, andere Abschnitte sind etwas breiter. | T2",neutral
Gletschertrekking Monte Rosa Hütte,"Nach der Querung der Zwischenmoräne folgte eine Passage in Fels und Schutt, die wir teilweise mit der Hilfe von fix installierten Seilen bewältigen. | T4 | L",neutral
Gipfelrunde oberhalb der Bordierhütte,"Ein kurzes, aber steiles Eisfeld zwang uns die Steigeisen zu montieren, wie die restlichen Seilschaften montierten wir die Eisen im felsigen Schlussaufstieg nicht ab. | ZS | III",neutral
Schinhorn 3796 m - Westnordwestgrat,"Der einfachste Weg führt durch die Südflanke über einen spaltenreichen Gletscher, weshalb dieser Aufstieg vor allem als schwierige Skitour oder als Hochtour im Frühsommer durchgeführt wird. | S- | IV",neutral
Hinteres Plattenhorn (Südgipfel),"Vermutlich war diese Umgehung vor ein paar Jahrzehnten noch einfacher, als noch nicht so viel abgebrochen und der Mini-Gletscher nordseitig noch grösser war. | T6 | II",neutral
6 Hörner um Juf,Anfangs sehr festes Blockgeröll dann Übergang zu brüchigerem Material. | T4,neutral
Vom Barrhorn bis Bishorn,Der weitere Wegverlauf hoch zum Barrhorn ist T3 Niveau. | T4+,neutral
Tellispitza (Hauptgipfel),"Von den Wegspuren, die gemäss SAC-Wanderroute durch dieses Couloir führen sollen, habe ich nicht viel gesehen. | T6",neutral
Piz Tumpiv 3101 müM,"Ausrüstung:Steigeisen, evtl. Pickel oder Wanderstöcke, Helm | T5- | WS | II",neutral
Bietschhorn-Überschreitung,"Nach dem Ende dieser Schnee-Rinne stoßen wir zunächst auf viel loses Blockwerk nach einiger Zeit auf einen schmalen Bergpfad, welcher stellenweise von Pflanzen und Büschen überwachsen ist und hinunter nach Blatten führt. | T4 | S | IV",neutral
Piz Tumpiv 3101 müM,"Anschliessend stieg ich links vom Couloir über im Blockfelder und Geröll auf, da der noch dort liegende Schnee im Couloir zu steil und mir deshalb zu gefährlich war. | T5- | WS | II",neutral
Schäfler (1925 m) immer wieder schön,"Die steile direkt an den Felswänden hoch oder die ausholende, welche zunächst fast zum Streckenbergsattel führt, um dann auf dem Säntisweg unter den Altenalptürm und Läden zum Schäfler zu gelangen. | T3",neutral
Augstenhüreli 3026 m,Vom Gletscher ist allerdings nicht mehr viel übrig. | T4,neutral
Sir Elias oder ein Date mit einem adligen,Am Parkplatz angekommen machten wir uns auf den Weg. | T4 | 5a,neutral
Tschinglenrunde mit Abkürzung Il Vonn,Die in einem anderen Bericht angegebenen Wegspuren habe ich nicht beziehungsweise nur in Teilen vorgefunden. | T4,neutral
Le Catogne (2598 m),"Für Rundwege gibt es diverse Möglichkeiten, auch schwierigere Varianten wie die direkte Gratüberschreitung vom Bonhomme wären möglich. | T3",neutral
Piz Paradis vom Lai di Nalps,"Auf der Terasse, die dann folgt geht es ein wenig nach rechts um dann die nächste Stufe wiederum auf gestuftem Grasgelände zu überwinden - auch leicht, es wird aber steiler. | T4",neutral
Kreuzberg III - Breites Südrippli,"Ob das wirklich schneller ist, hängt vermutlich von den Wartezeiten an der Seilbahn ab (die teils beträchtlich sein können!). | III",neutral
Schinhorn 3796 m - Westnordwestgrat,"Dahinter wieder ansteigend querend (nicht zu hoch, sonst muss man sich mit losem Geröll auf Eis herumschlagen), erreichten wir ein Schneefeld unterhalb des WNW-Grates auf ca. 2750m. | S- | IV",neutral
Vom Barrhorn bis Bishorn,"Auf diesem Weg über Felsen mit Sicherrungen kamen wir wieder weiter oben zum Gletscher und querten diesen, um zur Tracuithütte zu gelangen. | T4+",neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,"Der Schrund ist auch hier 'mein' Hindernis und der Wechsel vom Schnee in den Fels fällt mir schwieriger als erwartet, denn es gibt kaum Haltmöglichkeiten und er | T5 | S | V",neutral
Surettahorn / Punta Nera (3027 m) - ab dem Splügenpass,Nach einer kurzen Fotopause stieg ich den gleichen Weg zurück. | T5- | WS,neutral
Piz Kesch,Im besten Trittschnee gelangten wir zum aperen Einstieg in die Kettengesicherte Passage bei derPorta d'Es-cha. | WS | II,neutral
Schuttorgie am Täligrat (3042 m) im Avers,Diese Tour ist nur für Liebhaber von Schieferschutt und brüchigem Gestein :-)Ausrüstung: | T4+,neutral
Im Föhnsturm:  Iselle – Gondo – Simplon,"Die sind ohnehin ausgesetzt, dazu hat hier der Nord-Föhn freies Spiel! | T2",neutral
Zwei kleine Krümelchen gefällig...?,Den letzten Stand an einer Tanne auf dem SE-Grat brauchte ich dann nur noch zum Abseilen und lösen des Seils. | T6 | WS | III,neutral
Schildflue (2887 m) - Rundwanderung ab Schlappin,"Erst folgte ich der Wegspur Richtung Rot Furgga, nachher ging es weglos weiter. | T5+ | WS | II | WS",neutral
Berisal - Bortelhütten - Rosswald,"Bei der Hütte lohnt es sich die weitere 350HM hochzusteigen zum Bortelseewji, da dort bis weit in der Sommersaison noch Eisschollen auf dem See schwimmen. | T3",neutral
Chli Furkahorn,"Nach Gipfelbuch-Eintrag machten wir uns an den Abstieg, nun auf der Kantonsgrenze, wo wir zum Teil Wegspuren und alten WBW-Markierungen folgen konnten, zum Teil auch wieder über beliebiges Blockgelände. | T4",neutral
Schuttallergie im Nationalpark,"An derBrücke bei Punkt 1834, - welche ich nach schnellen drei Stunden erreiche -   fülle ich meine Trinkblase auf und folge dem Wegweise ins Valletta. | T4",neutral
Abländschen - Amelier (2002 m): Schwieriger als erwartet,Der weitere Weg auf den Gipfel ist nicht markiert. | T3+,neutral
"Burgerrain, Bräntlirain & Schwängiflüeli",In dieser Etappe empfand ich das Seil teilweise auch störend und war somit froh beimP.944das Ende vom Seil anzutreffen. | T5 | II | K2 | L,neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,"Nach dem Choleband geht es über eine breite, schuttige aber eher einfache Rinne aufwärts in Richtung Gipfel. | T5 | S | V",neutral
In der Goldach: vom Blumenegg zur Martinsbrugg,"Dann folgte ich dem Wegweiser rechts nach Goldach, ging durch den Wald und erreichte kurz nach 21 Uhr noch die Hängebrücke und mein Velo bei Tageslicht. | Keine Schwierigkeitsangabe",neutral
Mürtschenstock Ruchen,Im steilen Schuttkegel stiegen wir ziemlich schnurstracks auf das Ruchen Westwand-Couloir zu. | T6- | II,neutral
Chli Furkahorn,"ich als deutlich interessanter/schwieriger ein als den Abstiegsweg über den ganzen Grat, die Wegführung ist viel weniger klar. | T4",neutral
Vom Barrhorn bis Bishorn,"Bis dahin noch T3, wird der Weg nun ab hier T4 klassifiziert. | T4+",neutral
"Niesenkette 2./3. Etappe, 24./30 August","Klar, die klettertechnischen Schwierigkeiten übersteigen - sofern man alles optimal erwischt - kaum den dritten Schwierigkeitsgrad. | T6 | ZS | IV",neutral
Berisal - Bortelhütten - Rosswald,Dieser Weg ist eher schmall und man muss dort schon eher trittsicher sein. | T3,neutral
Piz Starlera 2735m und Piz Grisch 3060m,"Der alte Pfad ist nur stellenweise sichtbar, lediglich wenige Steinmännchen und wenige einzementierte Eisenstangen weisen ungefähr den Weg. | T5 | WS- | I",neutral
Piz da la Margna 3158 m,Dann über die steilen Schneefelder wieder zum Nordgrat aufsteigen. | T4,neutral
"Gletscherhorn, 3106 m",Leider sind nur noch vereinzelte Schneefelder vom einstigen Gletscher übrig. | T4- | L,neutral
Schinhorn 3796 m - Westnordwestgrat,Hier deponierten wir unsere Eisausrüstung und rüsteten auf Felskletterei um. | S- | IV,neutral
Dufourspitze (4634 m),"Der Abstieg vom Silbersattel verlief unproblematisch, von den grossen Spalten, die diese Route in den letzten Jahren schwierig bis unmöglich gemacht haben, war bei uns nichts zu sehen. | ZS- | II",neutral
Vom Barrhorn bis Bishorn,In einer Seilschaft mit Pickel und Steigeisen schafften wir den Gletscher am steilen Hang hinauf und verließen ihn wieder für eine Felspassage rechts davon. | T4+,neutral
6 Hörner um Juf,Wegspuren führen über den Gratabschnittca ½ | T4,neutral
Gletschertrekking Monte Rosa Hütte,"Entlang den Markierungsstangen querten wir mit weiteren Bergggängern den wenig spaltenreichen Grenzgletscher bis zur Zwischenmoräne mit dem von Osten herströmenden Gornergletscher, wo wir uns des Seils entledigten. | T4 | L",neutral
Morgenstund hat Gold im Mund - Open Air Schwyzerörgeli Konzert auf dem Grossen Mythen,"Wenn man allerdings, wie heute im Abstieg einem Vater mit seiner kleinen Tochter, welche in Sandalen ohne Sohlenprofil und ohne Halt im Schuhwerk und nicht an einem Seil geführt, begegnet ahnt man warum es doch ab und zu zu schweren Unfällen mit teils tödlichem Ausgang kommt. | T3",neutral
Schinhorn 3796 m - Westnordwestgrat,"Schlussbemerkungen:Wenn man trotz aller Unwegsamkeiten diese Route gehen will, ist vermutlich eine Überschreitung am sinnvollsten, um dem gefährlichen Abstieg aus dem Weg zu gehen. | S- | IV",neutral
Augstenhüreli 3026 m,"mVom See östlich ohne Höhenunterschied bis auf den Grat, am Zacken vorbei und den ersten Gratabschnitt gut gestuft aber steil runter. | T4",neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,"Immer wieder wechseln sich Kletter- und Abseilstellen ab, wobei mich Stefan des öfteren abseilt. | T5 | S | V",neutral
Überschreitung Ruchälplistock und Jakobiger,"Die Abkürzung führt an zwei kleinen Seelein vorbei zum Punkt 2038, wo wir auf den blau weissen Weg wechseln. | T5",neutral
Mont Mort bis Tête Rouge,Dafür ging ich ein paar Meter zurück über den Südgrat und dann durch das steileWest-Couloir hinunter. | T4,neutral
Flüela Wisshorn - über die Platte,Vor Ort ist die Entscheidung dann einfach. | T5 | II,neutral
Nel cuore del Ticino...,"desRiale Valle di Pratowb zuP. 1535und über die Brücke zurEx Capanna Soveltra(1532m), T4. | T6 | WS+ | III",neutral
Augstenhüreli 3026 m,Dem Bachverlauf aufsteigen zum ehemaligen Gletschergrund. | T4,neutral
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Von der Alp Obere Mans durch den Wald und dem Alp Sigel Südgrat, zum Alp Sigel Gipfel hinauf, (T4), der Rest war T2.Tourdaten:Tourlänge: | T4",neutral
Gletschersuchen am Pizol,"Allerdings nicht über dem letzten Rest Gletscher-Eis, unmittelbar unter dem Pizolgipfel. | T4",neutral
"Barrhorn ab Turtmann & zurück - ""Ultimative Wanderung reloaded""","Da der normale Aufstieg zur Turtmannhütte gesperrt war, musste man an diesem Tag den etwas längeren Steimännli-Weg nehmen. | T3+",neutral
Kreis mit Luftkühlung,"– durch den südexponierten Hang hinauf, Richtung Glishorn. | T4",neutral
Piz Laviner / Piz Jenatsch,Das malerische Val Mulix in der Morgendämmerung ist einfach jedes Mal wieder herrlich und wunderschön. | T5 | II,neutral
"Val d'Anniviers August 2024, 3|3: Le Tsapé - Illhorn","bei dessen Erreichen sind wir sehr angetan vom Gipfelfelsen mit Kreuz (auf der Google-map von Hikr auch so benannt) - sogar ein bisschen Kraxelei ist vonnöten, um den GipfelLe Tsapézu gewinnen. | T3+",neutral
6 Hörner um Juf,"Auf dem Wanderweg Richtung Forcellina gabs dann schon mehr Personenfrequenzen, aber nach ca. 1 ½ km verliessen wir den Weg und ab da war die Route weglos und somit auch fast menschenlos. | T4",neutral
2 Suonen bei Crans-Montana,"Seile).Von Icogne könnte man zurück nach Crans-Montana wandern, wir haben statt dessen das Postauto genommen (wir mussten ohnehin nach Sion zurück).Vor allem die zweite Suone ist wirklich eindrücklich. | T3",neutral
Gipfel Sammeln (4 Tage in der Leventina),Vom Passo führen Wegspuren dort hin. | T5 | II,neutral
6 Hörner um Juf,"Über Blockgeröll zum Grat aufsteigen, dann weisen Steinmänner quer durch die Ostflanke bis über den letzten Aufschwung das Grauhorn bzw. der Gipfel erreicht | T4",neutral
Gipfel Sammeln (4 Tage in der Leventina),Meiner Meinung nach kann man für die beschriebene Route definitiv ein T5 geben. | T5 | II,neutral
Abländschen - Amelier (2002 m): Schwieriger als erwartet,"Es ist ein schmales nicht immer gut sichtbares Pfädlein, dem man folgt. | T3+",neutral
Mittaghorn  / Lohner 2678m,Nachher weiter dem blauweiss markierten Weg Richtung Engstligenalp und nach ca 30minunten dem signalisierten Weg im T 4 Gelände folgend über mehrere Kraxelstellen zum Gipfel. | T4 | L | I | K1 | L,neutral
Kreuzberg III - Breites Südrippli,"Auf der Suche nach etwas kraxeligem im Alpstein fand ich im Kletterführer plaisirOST die Mehrseillänge ""Breites Südrippli"", welche in 5 Seillängen mit Schwierigkeit maximal 3c auf den III. Kreuzberg führt. | III",neutral
"Üschenengrat, Gällihore- Wyssi Flue und Schwarzgrätli.",Die Sonne verströmt bereits ihre Wärme in der steilen Flanke unter dem Gälliwändli. | T3,neutral
Nufenenstock - Nordgrat,Kurz vor dem Gipfel auf einer Höhe von ca. 2800m gibt es aber noch den steilsten Aufschwung der Route. | T5+ | II,neutral
mit em Stüssi übere Düssi,im oberen Teil viel brüchiger Fels. | WS+ | III,neutral
Fuorcla Val Sassa,"Der Weg von der Sasso Seite ist weniger anstrengend, dafür von der Wegfindung anspruchsvoller. | T5-",neutral
Ausser Rand und Band? Bifertenstock- und Bänderweg-Schnüffeln,"Wirklich ein höchst eindrücklicher Fleck, der sich erstaunlicherweise wirklich im T4-T5-Bereich erreichen lässt. | T5-",neutral
Sir Elias oder ein Date mit einem adligen,Leider verloren wir den Weg und stiegen über recht mühsames Blockgelände bis wir kurz vor dem Einstieg den Weg wieder fanden. | T4 | 5a,neutral
Via Alpina: Grindelwald » Lauterbrunnen (Etappe 11),Jetzt folgt ein steiler Aufstieg überwiegend auf Asphalt. | T2,neutral
Nel cuore del Ticino...,"Weiter wr über den Rücken vonPitela (2189m) zurAbzweigung 2145, auf dem eingezeichneten Weg (auf Swisstopo nicht rot eingezeichnet) zu denCassine Lei di Cima(2390m), hinunter zurAbzweigung 2266, und auf dem weiss-blau markierten Bergweg (wb) zumLago di Morghirolo(2263m), 3h-4h, 1240Hm Auf- und 170Hm Abstieg, T3.Abstieg Capanna Campo Tencia CAS: vomLago di Morghirolo(2263m) beim Ausfluss | T6 | WS+ | III",neutral
Petit Vélan 3223m einsamer Aussichtsgipfel,Die letzten Meter auf den gar leicht überhängenden Gipfel sind etwas ausgesetzt aber nicht schwieriger als der Aufstieg auf dem Grat zuvor. | T5 | II,neutral
Gipfeltour um S-charl,Mit vielen tiefblauen Seen und einfachen Gipfeln dazwischen. | T4,neutral
Vom Barrhorn bis Bishorn,"Wegen zu schlechtem Wetter, Regen und keiner Sicht sind wir nicht zum Gipfel - schade. | T4+",neutral
Vom Barrhorn bis Bishorn,"Einfach, aber steil. | T4+",neutral
"Piz Forbesch 3261,8m",Auch über 1000m hohe Flanke nach Nordwesten ins Val Curtegns ist extrem steil und mit Felsen durchsetzt. | T5+ | WS | II,neutral
Spali das Horn,die erste Seillänge ist fast die happigste. | T3 | V | L,neutral
Zwei kleine Krümelchen gefällig...?,"Nach den restlichen Abseilmetern war das Gelände etwas weniger steil, und trotz der zu Beginn starken Reibung durch die Tannenrinde liess sich das Seil gut abziehen. | T6 | WS | III",neutral
Von Zinal auf die Tête de Milon,"Die letzten hundert Höhenmeter geht es über eine Geröllrippe hinauf, die letzten Meter muss man sogar über eine gesicherte Felsstufe klettern, dann ist die Hütte nach 5 Stunden Aufstieg erreicht. | T3 | L",neutral
Piz Paradis vom Lai di Nalps,Der Rückweg erfolgt auf dem gleichen Weg wie der Aufstieg. | T4,neutral
Vom Hotel Belvédère auf's Chli Furkahorn (3026 m),"Von dort kann man zur Belvédère Furka hoch gehen, wo man einen atemberaubenden Blick auf den Gletschersee und den unteren Teil des Rhonegletschers werfen kann. | T4",neutral
Gipfelrunde oberhalb der Bordierhütte,"Es ging immer munter weiter, zwischen Chli Dirruhorn und Dirruhorn folgte eine ganz kurze Abseilstelle (max. 5 m), die theoretisch auch abgeklettert werden kann. | ZS | III",neutral
Chli Furkahorn,Ab P.  2800 würden deutliche Wege zurück zum Furkablick weisen; | T4,neutral
Sir Elias oder ein Date mit einem adligen,Der Abstieg erfolgt wieder in T4 Gelände dem Grat entlang bis P.2737 und dann Steinmänner:innen folgend über Blockgelände bis zur Abseilstelle (22 m). | T4 | 5a,neutral
"Pigne d'Arolla, Überschreitung West nach Ost","Hier könnte ich mir gut vorstellen, dass es bei Blankeis schwierig werden könnte. | WS",neutral
Windgällenhütte via Unters Furggeli,Im oberen Teil führt der Weg durch Buschwerk und man ist meist im Schatten. | T4,neutral
Schildflue 2887 m,"Steil hoch, Felsen durchsetzte Grashänge wechseln sich mit Blockgeröll ab. | T4",neutral
Horu hautnah: Gandegg- und Hörnlihütte,"Nun folgte ich dem mit Kunstbauten, Leitern und Seilen gut ausgebauten und rege frequentierten Weg zur Hörnlihütte, welcher im trockenen Zustand ein T2 kaum überschreitet. | T2",neutral
Gipfel Sammeln (4 Tage in der Leventina),- Oder habe ich den besten Weg immer verpasst? | T5 | II,neutral
